"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"NIKOLSKY BREAST CANCER 20Q11 AMPLICON",0.0149959762458323,0.0290021327986487,0.380730400722792,-0.486517106525894,-1.56181126926528,29,"TP53INP2,CNBD2,MAP1LC3A,MMP24,MYH7B,GSS,GGT7"
"LE NEURONAL DIFFERENTIATION UP",0.0526690338256452,0.0847451811007032,0.321775918075361,-0.546813168555226,-1.52164923823996,18,"SYT5,MAP1LC3A,CA10,KCNB1,SYT11,SYNGR3,SCN2A,GABBR1,SCG5,KCND1,ASIC1,KCNAB1,STX3"
"JIANG AGING CEREBRAL CORTEX DN",0.0139372919804611,0.0273568539467891,0.380730400722792,-0.419716240445896,-1.48794004711776,48,"MAG,TUBB3,CPLX1,DCTN1,CDK16,ARPP19,DNM1,SYT1,NSF,DYNC1H1,PLD3,ATP1A1,ATP6AP1,NPTX1,ATP6V1E1,AP2M1,NME1,TUBB4B,CCK,ACO2,CALM2,MGLL,CSNK1A1,GABRA1"
"BLANCO MELO BRONCHIAL EPITHELIAL CELLS INFLUENZA A INFECTION DN",0.0135862365886916,0.0267472705419696,0.380730400722792,-0.387388394127246,-1.48745753582459,71,"TMEM160,C4orf48,TMEM125,PPP1R14A,RBBP8NL,TGFBR3L,UPK3B,RCOR2,TM7SF2,PDF,NOXA1,SMIM5,UPK2,ATP6V0E2,AIF1L,ANKRD9,TPGS1,E2F1,PRR7,LIMD2,SNCG,ARHGAP40,CCDC96,LMTK3"
"MOOTHA VOXPHOS",0.00772238683723765,0.0164374902771855,0.407017918923954,-0.384016433901064,-1.47576304296171,70,"COX5A,TBCB,COX10,SURF2,NDUFA7,COX7A2,CYC1,COX6A1,NDUFA4,UQCRC1,NDUFB2,NDUFS1,COX15,UQCRH,COX8A,COX6A2,NDUFS4,NDUFA5,NDUFB7,COX7A1,NDUFA9,UQCRQ,NDUFA3,BCS1L,COX7A2L,NDUFA10,NDUFAB1,NDUFS6,NDUFC2,NDUFB3,COX4I1,UQCR10,NDUFA2,NDUFS5,UQCRC2,NDUFA1,COX6C,NDUFS7,COX11,NDUFS3,SDHA,UQCR11,NDUFS2,COX7B,SDHC,NDUFA6,CYCS,COX6B1,NDUFB6,TMCO6,NDUFB5,COX5B,NDUFB1"
"STARK HYPPOCAMPUS 22Q11 DELETION UP",0.0189357603162962,0.0353307053359143,0.352487857583619,-0.410347935557385,-1.47458424288404,50,"GRIN2B,RPH3A,CAMKK2,AAK1,GPR68,CX3CL1,SLC17A7,FJX1,VAMP2,CNTNAP1,ATP13A2,STXBP1,DCLK1,BSN,MIR22HG,ATP6V0A1,YWHAG,LINC00461,UVRAG,RAB6B,DLG2,IDS,MTMR4,CDK5R1,NETO1"
"MCCLUNG DELTA FOSB TARGETS 8WK",0.0233174987691363,0.042079803106597,0.352487857583619,-0.401685522150855,-1.42401917571905,48,"KCNH1,DNAJB5,ARHGEF2,CALM3,HCN2,CHRM1,KCNB1,SYNGR1,GRIN1,GAD2,RASSF2,CRY2,ARF3,ST6GALNAC6,PRKCB,MAP2,SYT6,MYH10,NDST1,CLCN4,IDS,KIF1B,RALY"
"ASTON MAJOR DEPRESSIVE DISORDER DN",0.00705646273585837,0.0153268662185231,0.407017918923954,-0.326983080522551,-1.4224692316476,155,"LDB3,MAG,MOBP,CNP,FOLH1,KLK6,MOG,PRKCQ,ENOSF1,PLLP,CAPN3,PDE6B,RASGRF1,CDC42EP1,CNTN2,MYRF,AAK1,EFS,TF,PLP1,SLC31A2,APLP1,ENPP2,LPAR1,HTR4,MAL,RNASE1,UNC13A,NAPA,TMEM63A,CACNG3,LIPE,GPR37,ST18,DPH2,SCAMP5,ASPA,CADM4,MAPT,CDK18,ABCA2,EPHA5,PDE8A,ERBB3,CAP2,KIF13B,UGT8,SOX10,COL4A5,SPOCK1,OLIG2,EVI2A,SORBS2,TIAM1,KIF1B,BCAT1,KIF2A,BIN1,PRPF19,SCARB2,NFASC,NPIPB3,FADS1,PCSK2,MYO9B,MX1,PSEN1,PDK2,ZKSCAN1,PTP4A2,PMP22,SPOCK3,SYNJ2,GABRB2,SF1,DYNC1LI2"
"MCCLUNG CREB1 TARGETS UP",0.0192548403486898,0.0358063456996003,0.352487857583619,-0.350060632887956,-1.41257226335646,94,"TMEM160,TP53INP2,SYT2,MOBP,TUBB3,SST,NPY,STX1A,PCDHA9,SYP,SCN1B,CPLX1,NEUROD6,BDNF,ADCYAP1,TUBA4A,NEFM,STMN3,STMN2,STMN1,FGF12,KLF10,CDK14,INA,OLFM1,ACOT7,SEMA7A,NDRG3,FBXW7,CXXC5,LAPTM4B,BASP1,DIO2,PTPRD,IDI1,GNB1"
"MIKKELSEN MEF LCP WITH H3K27ME3",0.0558610585177507,0.0887176708166593,0.321775918075361,-0.382091053217196,-1.4049537933348,54,"SOST,SLC4A1,BTBD17,PKLR,PRND,SP7,PRR15L,KCNIP3,ZNF385C,ABCG5,CDH7,SP6,SLC16A8,CLSTN3,SLC17A7,TRPM2,IL17RE,ABCG8,SLC45A3"
"NIKOLSKY BREAST CANCER 12Q24 AMPLICON",0.12603305785124,0.174339471924844,0.179782316298324,-0.505502320761577,-1.35614536073569,15,"P2RX2,GALNT9,MMP17,NOC4L"
"BARRIER COLON CANCER RECURRENCE DN",0.125,0.173268625393494,0.181383128498408,-0.484484067308636,-1.33672839888555,17,"NDFIP1,ARHGAP33,NUCB1,SPPL2B,ASB13,KCNAB1,BTBD2,PFKL,TSPAN7"
"MIKKELSEN MEF HCP WITH H3 UNMETHYLATED",0.0134739051694463,0.0266054241088768,0.380730400722792,-0.299307735972592,-1.33554195323787,194,"TRPM1,RHO,NPB,HTR2C,PCDHAC1,STRA8,PCDHA7,PIWIL1,PCSK1N,FSCN2,PCDHA6,FAM178B,L1TD1,PCDHA9,RPH3A,CHRM4,NXPH2,COL9A3,MTNR1A,VWA1,FSTL5,SYP,NOS1,GPR158,CAMKK2,IL12RB2,NPAS4,HSPB3,PCDHA13,IL1RAPL2,ABHD16B,PDZD3,PCDHA5,SPAG6,CES5A,SLC35F4,TRPC3,SPEG,PCDHA1,MAGIX,KCNV2,C10orf67,PCDHA10,OLFM3,PCDHA3,MAEL,HORMAD2,LY6K,MYH14,CLVS2,FGF22,TEX101,LGI3,ADAM1B,MYCN,GDAP1,PCDHA4,EDN3,CACNG2,SCG5,DPP6,CCIN,EPHA1,RIIAD1,PCDHA11,MAP7D2,KCNJ11,RBFOX1,DLGAP1,RAB9B,DDX4,FAR2,BASP1,CNTNAP2"
"WENG POR TARGETS GLOBAL UP",0.154166666666667,0.207905569007264,0.161978948883402,-0.470047436003068,-1.29689663484511,17,"SCD,HMGCS1,CES2,AQP8,CYP51A1,CYP2C18,IDI1,CYP7A1,FDPS"
"ULE SPLICING VIA NOVA2",0.0893970893970894,0.130130639221548,0.216542836735348,-0.369311223103193,-1.29022018989303,43,"GPR45,KCNQ2,DNAJB5,AGRN,GRIN1,ANK3,RAP1GAP,MAPK8IP1,EPB41L3,EPHA5,GRIK2,CLSTN1,NTNG1,CACNA1B,SPTAN1"
"LEIN LOCALIZED TO DISTAL AND PROXIMAL DENDRITES",0.1625,0.217489868287741,0.157402899305283,-0.466745004340805,-1.28778497465606,17,"RGS8,ADCY1,LPAR1,SBK1,PSD,DLG4,EPB41L1,BOK,ITPR1,PPP1R9B,CAMK2A,HPCAL4"
"MIKKELSEN IPS HCP WITH H3 UNMETHYLATED",0.0982905982905983,0.14128605042642,0.208955027549354,-0.338365415561913,-1.2673199479051,59,"SST,PCDHA7,PIWIL1,GRID2IP,FSCN2,PCDHA6,PCDHA9,DIRAS1,NOS1,DCC,ADCYAP1,RASGRP3,SLC45A1,AHRR,NAP1L5,TEX101,ADAM1B,MYCN"
"TERAO AOX4 TARGETS HG UP",0.149350649350649,0.201879727974326,0.16823816568964,-0.408323691139079,-1.26317893660159,26,"CEBPA,MAP1LC3A,AP1S3"
"ODONNELL METASTASIS DN",0.180293501048218,0.23721883952659,0.149207542435322,-0.412528108580738,-1.2594689405504,24,"CCKAR,TGM3,KRT13,CHAF1B,ENSA,BDH1,DLG3,MYCN,VSNL1,TTC9,MAPK13,GRK6,AP1S1"
"RORIE TARGETS OF EWSR1 FLI1 FUSION DN",0.158008658008658,0.212123411818534,0.163180127180689,-0.406964297343365,-1.2589735533565,26,"FEV,NREP,ENPP2,CHGB,DLK1,APC2,GAP43,INA,SFRP1,MYCN,MLLT11,CRMP1,RGS5,DCX,ELAVL3"
"NIKOLSKY BREAST CANCER 22Q13 AMPLICON",0.227272727272727,0.287711809034281,0.130105630751129,-0.465871501508836,-1.24982507403396,15,"IL17REL"
"MIKKELSEN ES HCP WITH H3 UNMETHYLATED",0.119747899159664,0.166951952284872,0.186432558434075,-0.343463671001473,-1.24396412582755,51,"TRPM1,RHO,SST,PIWIL1,FSCN2,PCDHA9,RPH3A,SYP,NOS1,CES5A,RASGRP3,TRPC3,AHRR,C10orf67,OLFM3,LY6K,TEX101"
"NIKOLSKY BREAST CANCER 16Q24 AMPLICON",0.134171907756813,0.183764738358476,0.175204047558551,-0.345145675159731,-1.23118887115828,49,"TUBB3,SPATA2L,SNAI3,CDT1,CPNE7,MVD,ZFPM1,FANCA,DBNDD1,KLHDC4,CDH15,APRT,PABPN1L,ZNF778,GAS8,TRAPPC2L,SPG7,C16orf74,PRDM7,VPS9D1,TCF25,MC1R,JPH3,SPIRE2,DEF8,ZNF276,GALNS"
"HORTON SREBF TARGETS",0.20335429769392,0.262252773159292,0.139599673451922,-0.40322105363772,-1.23105403648712,24,"TM7SF2,HMGCS1,FASN,CYP51A1,AACS,ACLY,ACACA,IDI1,SC5D,FDPS,STARD4,ELOVL6,PMVK,ALDOC,ACSS2,INSIG1,SQLE,RDH11"
"BLANCO MELO INFLUENZA A INFECTION A594 CELLS DN",0.100238663484487,0.143539592913829,0.219250346703755,-0.296665616742801,-1.21639207137397,110,"CEBPA,MSC,KIF12,SPDEF,SPATA2L,HDAC11,SDSL,FAM201A,MAFG-AS1,TSR2,OPN3,SNORD104,CPLX2,DGKQ,APBB3,APC2,NAT8L,LMF1,RBP5,SPC24,FAM171A2,ZNF696,REXO1,ARHGAP33,C3orf18,ELFN2,FAM98C,FKRP,WDR18,PIGQ,MESP1,HNRNPA0,ZFYVE27,IBA57,MAFG,SNX12,TYSND1,PKDCC,MEGF6,OPLAH,ERF,KLHDC8B,RAD51D,ZNF428,OGFR,WBP1"
"BANDRES RESPONSE TO CARMUSTIN WITHOUT MGMT 48HR DN",0.203389830508475,0.262252773159292,0.140406238523342,-0.376745540356546,-1.19599060181768,28,"KRT17,ATP1A3,ADRA1B,AMH,ADCYAP1,ACTC1,AQP8,INSL3,TUBG1,ITGA3"
"VERHAAK GLIOBLASTOMA PRONEURAL",0.114143920595533,0.160579466567305,0.208955027549354,-0.272642711076887,-1.19273309647782,166,"TMEFF1,NKAIN1,ATP1A3,NCALD,PPM1E,FLRT1,SLCO5A1,DGKI,MARCKSL1,PODXL2,SPTBN2,CA10,NRXN2,PAK3,ZFP69B,MYB,RNFT2,STMN4,GNG4,REEP1,SORCS3,STMN1,CELF3,KIF21B,ARHGEF9,GRID2,MAPT,ARHGAP33,SEC61A2,DPYSL4,PFN2,MVB12B,DPP6,MPPED2,ERBB3,MAP2,FXYD6,MLLT11,SOX10,FGF9,CRMP1,CLASP2,OLIG2,DLL3,BEX1,DCX,MMP15,FHOD3,DNM3,SOX4,GSTA4,PDE10A,TTYH1,ACTR1A,RAB33A,GPR17,TTC3,NLGN3,CDK5R1,GABRA3,SCG3,SEZ6L"
"WHITE NEUROBLASTOMA WITH 1P36.3 DELETION",0.233545647558386,0.294946271916471,0.130105630751129,-0.426955947797912,-1.18811548457268,18,"PLEKHG5,KCNAB2,CHD5,RNF207,NOL9,ACOT7,DNAJC11"
"ELVIDGE HYPOXIA BY DMOG DN",0.179871520342612,0.236781542972188,0.151148761385484,-0.319087902864699,-1.17702352328446,55,"CEBPA,SPDEF,ADORA1,ADAT1,SLC29A1,NAPA,WDR77,CALM1,DOLK,ACOT7,POLR3K,IDH3A,CORO1A,SOBP,RPP40,SLC25A44,SLC35C1,ATP2A3,GABBR2,SRM,RET,PSME3"
"MCCLUNG COCAINE REWARD 5D",0.161504424778761,0.216376617781687,0.163180127180689,-0.306425099135049,-1.17658228739943,71,"TUBB4A,STX1B,NRGN,SYP,ADORA1,VAMP2,FSCN1,STXBP1,C20orf27,SH3GL3,MAPRE3,FMNL1,PTPN5,CORO2B,SOX10,SPOCK2,DLG4,FBXW7,ITFG1,OAZ3,ZFP64,ACTL6B,PER2,LENG8,MARK2,CCK,KLF13,MTMR9,ST6GALNAC5,GRIA4,GAD1,PENK,BTRC,PTP4A2,CAMK2A,WBP11,ZNRF1,TSPAN7,PALM"
"LIN NPAS4 TARGETS DN",0.183406113537118,0.240954227730018,0.151148761385484,-0.31031914697091,-1.17238537063325,64,"EGR1,VGF,ARC,CRHBP,BDNF,CPNE7,FAM131A,HPCA,TESC,RGS4,OPN3,KCNA1,GLCE,SORCS3,SLC12A3,EGR4,WDR77,SV2B,TMTC4,PXDN,CRTAC1,TMEM86A,RAB40B,NPTX1,EGR3,LINC00461,EGR2,GUK1"
"SCHAEFFER PROSTATE DEVELOPMENT 12HR DN",0.192389006342495,0.25100827395401,0.144630528034484,-0.320342332952911,-1.16998693529936,52,"TUBB3,SPON2,RIMKLA,TUBA1B,CALCB,TUBA4A,NUAK1,SYT4,GAP43,STMN1,HTR3B,OLFM1,RSPO1,NSG2,CHD3,HMX1,MTCH1,FXYD6,CRMP1,BASP1,ZWINT,ELAVL3,PRMT1"
"BILANGES SERUM SENSITIVE VIA TSC1",0.257322175732218,0.320530498955454,0.122107920287081,-0.401208015870992,-1.16200014052717,20,"DNAJC5G,KRT84,EGR1,DUSP4,LHFPL4,TAC1,TUBA4A"
"OKAWA NEUROBLASTOMA 1P36 31 DELETION",0.269874476987448,0.334431692401893,0.118815039412263,-0.396154158353148,-1.14736288774649,20,"PLEKHG5,KCNAB2,CHD5,RNF207,NOL9,ACOT7,DNAJC11"
"SCHMIDT POR TARGETS IN LIMB BUD UP",0.263498920086393,0.327606657349765,0.122679189568808,-0.364878604654031,-1.14260468010508,27,"SCD,CYP26A1,TM7SF2,HMGCS1,MVD,ACAT2,CYP51A1,MVK,ACLY,SREBF2,NSDHL,IDI1,SC5D,FDPS,STARD4,ELOVL6,ZMAT4"
"NUTT GBM VS AO GLIOMA DN",0.22360248447205,0.284428389010667,0.131457611642763,-0.324704181857782,-1.14247965266249,45,"ANGPTL2,CIRBP,FLRT1,KCNK3,TNR,ABCC8,APC2,CRY2,GRIK2,ASIC1,OLIG2,ELMO1,YIF1A,PRPF6,RPL9P7,PFKM,TNK2,AIMP2,PPIF,POLR2F,TMEM97,BCR"
"HOLLERN MICROACINAR BREAST TUMOR UP",0.243186582809224,0.305225155240841,0.126253987849115,-0.327474434028508,-1.14217287462463,42,"GJB1,LRRC26,SPDEF,NCALD,SLC7A4,HDAC11,NR4A1,SLC31A2,GGNBP1,TESC,RAP1GAP,SIDT1"
"SESTO RESPONSE TO UV C4",0.29399585921325,0.360249802285309,0.112378519110475,-0.397439712151105,-1.13404249608908,19,"ATP12A,TYMS,ALDH1A3,LY6D"
"GUENTHER GROWTH SPHERICAL VS ADHERENT UP",0.303609341825902,0.369647871476513,0.111918316325105,-0.403069761207561,-1.12164598508038,18,"PCSK1N,SHC3,OLIG1,CCND2,MAP2,METRN,CRMP1,OLIG2,DLL3,CELSR2,HES6,HES5"
"VILLANUEVA LIVER CANCER KRT19 DN",0.267094017094017,0.331380490736628,0.120985142145252,-0.296168612728714,-1.10927527930466,59,"ACY3,ABCB11,SLC22A18AS,ALDH1B1,CDHR5,ACY1,NGEF,XYLB,KCNB1,MAGIX,ABCB8,PNPO,HNF4A,RBP5,PINK1"
"MIKKELSEN MEF ICP WITH H3K4ME3 AND H3K27ME3",0.298507462686567,0.365118850193477,0.11331290842208,-0.329505909323304,-1.10159116841542,36,"MCHR1,EXTL1,PCSK1,CALY,MEIS1,CNTNAP1,CACNB3,PTPRR,ROBO2,RNF207,SYT1,MDH1B,OPCML,SPTSSB,CORO1A"
"LI ADIPOGENESIS BY ACTIVATED PPARG",0.335390946502058,0.403875515341129,0.103576326612592,-0.404524710915158,-1.09501382755821,16,"CEBPA,SCD,FASN,LIPE"
"BLANCO MELO HUMAN PARAINFLUENZA VIRUS 3 INFECTION A594 CELLS DN",0.265882352941176,0.330103936311367,0.128142916898415,-0.265574048539124,-1.08541647490192,105,"CEBPA,SYNGR4,ANKS4B,HR,PRODH2,CRYM,VWA5B2,BCAS1,FAM86B3P,KIF12,TUBB4A,CHST13,SSTR5,VWA1,MYO1A,CLDN3,GAL3ST1,SSTR5-AS1,RAB37,AMH,EPHB3,SEMA6B,SLC26A1,DBP,NECAB2,CHTF18,RAP1GAP,HSD17B8"
"SUMI HNF4A TARGETS",0.37006237006237,0.438432637535777,0.0982123351217438,-0.349045114010591,-1.06020956973413,23,"RBP2,FABP1,LGALS2,ATP6V0E2,ABCG8,BHMT,TNFSF10,KANK4,BDH1"
"MIKKELSEN MCV6 LCP WITH H3K27ME3",0.395833333333333,0.465209816132859,0.0943563635421779,-0.383641204426955,-1.05849526856263,17,"SOST,BTBD17,ZNF385C,BPIFC,TMPRSS13,CORO6,TRPM2"
"BANG VERTEPORFIN ENDOMETRIAL CANCER CELLS DN",0.402083333333333,0.471506509838734,0.0934449219410994,-0.38115200112214,-1.05162736727822,17,"MSLNL,IL9RP3,PPP1R27,MROH2A,CEND1,C9orf131,AOC3"
"NIKOLSKY MUTATED AND AMPLIFIED IN BREAST CANCER",0.379775280898876,0.448213661275971,0.101350743797099,-0.263965688958049,-1.03703757616127,82,"MSLNL,TAC4,LPO,ARC,PPM1E,CACNA1H,HEPACAM2,AGAP2,CACNA1G,DNAH17,MYH7B,FANCA,ZNF707,AHRR,ANK1"
"LEIN PONS MARKERS",0.394618834080717,0.464195440623889,0.0988903007520636,-0.259537764391139,-1.036139049591,89,"HCRTR1,SV2C,HTR2C,VWA5B2,PCSK1N,KLK6,KCNG4,SLC6A5,P2RX6,NRG1,S100B,RAB37,CALM3,HCN2,AHNAK2,GLRA4,PHOSPHO1,DLK1,KANK4,KCNAB2,PANX2,CABP7,HMGA1,GLRA2,EMC9,B3GALT5,EIF5A2,UBLCP1,ECE2,BAIAP3,CD83,ENTPD3,NDUFS1,ENDOD1,GLRA1,RTN2,SGPP2"
"ZWANG EGF PERSISTENTLY UP",0.398305084745763,0.467490907995693,0.0949751525905595,-0.322978233231125,-1.02530458932715,28,"OASL,RHOBTB2,CYP51A1,HMGCR,PRUNE2,RBFOX1,NSDHL,IDI1,TCEA2,LANCL2,DYNC1LI1,OGDH,FAM98A,THEGL"
"CHIANG LIVER CANCER SUBCLASS POLYSOMY7 UP",0.401315789473684,0.470815415537067,0.0965629554309422,-0.266388869694879,-1.02191476694195,69,"TMEM139,HAPLN4,FOLH1,DAO,PFKFB1,MAP1LC3A,FNDC5,CLDN3,CYP2A6,ADCY1,SRD5A1,MPPED1,ICA1,MPND,LRRC31,PTK6"
"MIKKELSEN ES ICP WITH H3K27ME3",0.447761194029851,0.519308636798449,0.0886261133285098,-0.30268363489007,-1.01191999774311,36,"TH,KCNG4,PRSS16,PDE6B,CALCB,RNF112,CNN1,HPCA,FXYD7,RTBDN,KCNJ9,COL24A1,MYH11,LRRC4B,DUSP8,TLR9"
"GRATIAS RETINOBLASTOMA 16Q24",0.45625,0.527763791593695,0.0862865626267245,-0.366470085753,-1.01111884584636,17,"KIAA0513,APRT,TRAPPC2L,SPG7,TCF25,GALNS,COX4I1"
"LIU OVARIAN CANCER TUMORS AND XENOGRAFTS XDGS UP",0.41371158392435,0.483425919826684,0.0992333343771191,-0.236102125764707,-1.00682119700095,136,"FBN3,STAG3L5P,MIR4664,BANF1P3,RNPS1P1,HSP90AB3P,KIF12,RPSAP15,YWHAZP3,RCOR2,SLC28A2,XKR7,LINC00265,GRIN2B,ADRA1B,PACSIN1,CICP27,SIAH3,KCNH3,PFN1P11,RAP1GAP2,RNFT2,ATF4P4,OBSCN,ANK1,MAP3K9,CPLX2,MIR600HG,NAT8L,SPTBN5"
